target,slug,county_code,county_name,district_code,school_code,charter_code,ada,high_needs,y201415,y201516,y202021,floor_targ_caveat
New Designs Charter School-Watts,new-designs-charter-school-watts,19,Los Angeles,64733,0120071,1120,356,0.95,7955,9299,11662,FALSE
New Haven Unified,new-haven-unified,01,Alameda,61242,0000000,,12144,0.54,7268,8079,9757,FALSE
New Heights Charter,new-heights-charter,19,Los Angeles,64733,0111211,0761,415,0.98,7627,8884,11112,FALSE
New Hope Elementary,new-hope-elementary,39,San Joaquin,68619,0000000,,211,0.96,8164,9446,11746,FALSE
new Horizons Charter Academy,new-horizons-charter-academy,19,Los Angeles,64733,0128371,1567,182,0.83,8617,9312,11001,FALSE
New Jerusalem,new-jerusalem,39,San Joaquin,68627,0117796,1003,209,0.62,6860,7777,9538,FALSE
New Joseph Bonnheim (NJB) Community Charter,new-joseph-bonnheim-njb-community-charter,34,Sacramento,67439,0131136,1690,238,0.91,7841,8749,10601,FALSE
New Los Angeles Charter,new-los-angeles-charter,19,Los Angeles,64733,0117614,0998,298,0.80,7251,8368,10397,FALSE
New Millennium Secondary,new-millennium-secondary,19,Los Angeles,64733,0117911,1020,190,0.79,8579,9946,12399,FALSE
New Opportunities Charter,new-opportunities-charter,19,Los Angeles,64352,0128496,1557,331,0.16,8524,8814,10030,FALSE
New Spirit Charter Academy,new-spirit-charter-academy,10,Fresno,10108,0125260,1365,96,0.88,7535,8908,11259,FALSE
New Technology High,new-technology-high,34,Sacramento,67439,0101881,0585,253,0.70,8372,9576,11823,FALSE
New Village Girls Academy,new-village-girls-academy,19,Los Angeles,64733,0111484,0791,101,0.97,8983,10413,12982,FALSE
New Vision Middle,new-vision-middle,36,San Bernardino,67876,0120006,1089,289,0.88,7618,8791,10924,FALSE
New West Charter,new-west-charter,19,Los Angeles,75663,6120158,0431,722,0.23,6762,7540,9131,FALSE
Newark Unified,newark-unified,01,Alameda,61234,0000000,,6130,0.58,7596,8383,10058,FALSE
Newcastle Charter,newcastle-charter,31,Placer,66852,0109827,0727,259,0.16,6410,7118,8592,FALSE
Newcastle Elementary,newcastle-elementary,31,Placer,66852,0000000,,152,0.35,7632,8050,9172,FALSE
Newhall,newhall,19,Los Angeles,64832,0000000,,6648,0.45,6847,7597,9158,FALSE
Newman-Crows Landing Unified,newman-crows-landing-unified,50,Stanislaus,73601,0000000,,2831,0.73,7465,8687,10851,FALSE
Nightingale Charter,nightingale-charter,39,San Joaquin,68676,6042725,1318,337,0.93,7524,8897,11249,FALSE
Nord Country,nord-country,04,Butte,61424,0110551,0729,135,0.60,7267,7892,9362,FALSE
Norris Elementary,norris-elementary,15,Kern,63693,0000000,,3924,0.20,6408,7162,8684,FALSE
North County Joint Union Elementary,north-county-joint-union-elementary,35,San Benito,67504,0000000,,738,0.44,6791,7583,9176,FALSE
North County Trade Tech High,north-county-trade-tech-high,37,San Diego,68452,0114264,0884,138,0.60,8212,9167,11111,FALSE
North Cow Creek Elementary,north-cow-creek-elementary,45,Shasta,70078,0000000,,247,0.30,6740,7382,8810,FALSE
North Monterey County Unified,north-monterey-county-unified,27,Monterey,73825,0000000,,4256,0.83,8287,9508,11727,FALSE
North Oakland Community Charter,north-oakland-community-charter,01,Alameda,61259,6117972,0302,217,0.24,6689,7287,8666,FALSE
North Valley Military Institute College Preparatory Academy,north-valley-military-institute-college-preparatory-academy,19,Los Angeles,64733,0100776,0540,344,0.85,8129,9280,11440,FALSE
North Woods Discovery,north-woods-discovery,45,Shasta,75267,6117840,0292,179,0.60,7024,7819,9457,FALSE
